method_id,method_label,representation,model,split,seed,train_size,actual_train_size,n_val,n_test,mae,rmse,r2,source_table,status
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,11,2000,2000,1523,3047,0.1137540456150383,0.1808721413915562,0.8419021133158318,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,22,2000,2000,1523,3047,0.1147573670931787,0.1764992721503185,0.8429467231706754,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,33,2000,2000,1523,3047,0.1164327314420692,0.1754532134289798,0.8498522451406657,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,44,2000,2000,1523,3047,0.1163616362127181,0.1757999401960874,0.846025339735332,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_rf,RDKit + RF,RDKit descriptors,RandomForest,random,55,2000,2000,1523,3047,0.1151161919719258,0.1886005264219229,0.8253822406668821,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,11,2000,2000,1523,3047,0.1090118661522865,0.1687734755328965,0.862345278263092,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,22,2000,2000,1523,3047,0.1051507368683815,0.1578933249180913,0.874313473701477,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,33,2000,2000,1523,3047,0.1066203042864799,0.1589204045596087,0.876815676689148,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,44,2000,2000,1523,3047,0.1083019003272056,0.1626584165760459,0.8681849837303162,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
rdkit_xgb,RDKit + XGB,RDKit descriptors,XGBoost,random,55,2000,2000,1523,3047,0.1097720190882682,0.1753491123153199,0.8490581512451172,D:\学校\毕业论文for codex test\oxbenchmark重启\08_seed5_upgrade\01_tabular_seed5\results\tabular_seed5_full_raw_results.csv,ok
